,Depth,Date,Station,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,Nstar,TA,pH,O2
59,140.243,1672617600000000000,35,17.5,-106.5,12.8931,34.808,141.13,1026.9016140791455,26.274973374589308,2281.0,2.36042148359295,21.735285731355127,3.6809758093424003,-9.45048219678967,2301.0,7.5313,0.46
60,140.61,1673481600000000000,36,17.5,-106.5,12.7188,34.8093,141.5,1026.9392934746186,26.310525663117232,2280.0,2.3603348774467747,22.27006030962165,3.2913337930267232,-9.303963936500024,2302.0,7.5356,0.46
61,140.909,1674345600000000000,37,17.5,-106.5,12.7715,34.8126,141.8,1026.9326332750857,26.302685833649775,2280.0,2.36035018546284,22.69866517500756,3.067387185811833,-9.099550606586051,2302.0,7.5369,0.46
62,150.803,1672617600000000000,35,17.5,-106.5,12.7736,34.8072,151.76,1026.9725982647012,26.298475056670668,2281.0,2.4428991554892843,21.879843764057643,3.4859742178605413,-10.820568505910364,2301.0,7.5318,0.46
63,150.673,1673481600000000000,36,17.5,-106.5,12.5272,34.8041,151.63,1027.0187946777503,26.34450175663096,2281.0,2.442789271250545,22.492285554762542,2.9892344871480954,-10.703108298098082,2302.0,7.5341,0.45
64,150.385,1674345600000000000,37,17.5,-106.5,12.6679,34.806,151.34,1026.990958973707,26.31837979743682,2280.0,2.4428554809465512,21.85024104050999,3.271693845637859,-11.063752808996972,2302.0,7.5355,0.45
65,160.785,1672617600000000000,35,17.5,-106.5,12.5462,34.7948,161.81,1027.05336188221,26.333927091192663,2282.0,2.442707055078216,21.72233773629249,3.2422852829159123,-11.218689862043055,2301.0,7.5311,0.45
66,160.378,1673481600000000000,36,17.5,-106.5,12.3575,34.8013,161.4,1027.0938934291876,26.3756763448539,2282.0,2.4426106600977877,22.938506548159445,2.8916538390506608,-10.351610174354496,2302.0,7.5341,0.47
67,160.388,1674345600000000000,37,17.5,-106.5,12.478,34.7995,161.41,1027.068744073274,26.350870196799406,2281.0,2.4426704711719767,21.77069463853217,2.940406878728406,-11.47162602149105,2301.0,7.5339,0.44
68,170.748,1672617600000000000,35,17.5,-106.5,12.3793,34.7887,171.84,1027.1265616955516,26.36203174449429,2283.0,2.442532971662259,21.759733253422297,3.0570721438812534,-11.363722149292593,2301.0,7.53,0.45
69,170.34,1673481600000000000,36,17.5,-106.5,12.2082,34.7916,171.43,1027.160589454196,26.397293824206827,2283.0,2.4424520554712625,22.352882534366213,2.9693506850965568,-10.85699966807743,2302.0,7.5317,0.46
70,170.777,1674345600000000000,37,17.5,-106.5,12.3583,34.7918,171.87,1027.1332385913565,26.368506757746673,2283.0,2.442517093938183,21.76932763919238,2.9207505777091747,-11.490195286109374,2301.0,7.5307,0.43
71,179.974,1672617600000000000,35,17.5,-106.5,12.2256,34.7798,181.13,1027.1914641682613,26.385110240356425,2284.0,2.454580055257035,21.106094390644838,2.920585017155651,-12.346601476312069,2301.0,7.5277,0.46
72,179.646,1673481600000000000,36,17.5,-106.5,12.119,34.7879,180.8,1027.2170992778304,26.411832827650187,2284.0,2.4545187990447825,22.2640374815396,2.8328967674368273,-11.275366535740092,2302.0,7.5297,0.46
73,180.153,1674345600000000000,37,17.5,-106.5,12.1114,34.7748,181.31,1027.210710084286,26.403131752469335,2284.0,2.4545340660153387,20.356096168705513,2.3948348433771187,-13.621614044162788,2301.0,7.5284,0.43
74,190.512,1672617600000000000,35,17.5,-106.5,12.0995,34.7737,191.74,1027.2588761309592,26.404887784051652,2285.0,2.454418977983362,21.17285185397339,2.4920689998239944,-12.705782793936402,2301.0,7.5263,0.44
75,190.462,1673481600000000000,36,17.5,-106.5,12.0201,34.7825,191.69,1027.2809200398651,26.426857475813677,2285.0,2.4543663098306565,22.136106644633816,2.891127384985156,-11.34262692767153,2302.0,7.5285,0.45
76,189.697,1674345600000000000,37,17.5,-106.5,12.0348,34.7745,190.92,1027.268414879417,26.417822148169762,2284.0,2.4543961873622333,21.33814267284079,2.745144267217656,-12.28705205773729,2301.0,7.5286,0.44
77,199.559,1672617600000000000,35,17.5,-106.5,11.8487,34.76,200.85,1027.3376539274366,26.44213364386701,2286.0,2.4810121338023463,20.752670671122782,2.267998248767171,-13.775525220947587,2301.0,7.5242,0.44
78,200.115,1673481600000000000,36,17.5,-106.5,11.891,34.7759,201.41,1027.3443357204903,26.446520458060604,2285.0,2.4809959974310583,21.79405601559831,2.783876739821847,-12.218003203476774,2302.0,7.5281,0.44
79,199.628,1674345600000000000,37,17.5,-106.5,11.9162,34.7709,200.92,1027.333395409298,26.437855720618018,2285.0,2.4810224181318747,21.570407522059842,2.618429432957625,-12.607521735092527,2301.0,7.5284,0.43
80,210.105,1672617600000000000,35,17.5,-106.5,11.75,34.7531,211.47,1027.3988462911736,26.455644093933643,2288.0,2.4808643635401197,20.839034496961293,2.2094632558665173,-13.745332063814105,2302.0,7.5214,0.43
81,209.479,1673481600000000000,36,17.5,-106.5,11.8067,34.7702,210.84,1027.3983939955633,26.458265665111412,2287.0,2.4808654557007346,21.374376413610428,2.910263455222913,-12.509207422378411,2302.0,7.5257,0.45
82,209.668,1674345600000000000,37,17.5,-106.5,11.7919,34.7618,211.03,1027.395576711891,26.45452659989769,2287.0,2.480872258632244,21.218701437054467,2.5696042107258616,-13.005650490335574,2302.0,7.5258,0.43
83,219.619,1672617600000000000,35,17.5,-106.5,11.6214,34.7454,221.05,1027.4603938911646,26.47396752067857,2289.0,2.4807157531913546,20.55553686114851,2.2385291089318926,-13.99738608098127,2302.0,7.5211,0.43
84,219.757,1673481600000000000,36,17.5,-106.5,11.644,34.7601,221.19,1027.468112399065,26.481188704090982,2288.0,2.4806971176503496,21.25613411885373,2.6180861162873867,-12.916933647264477,2303.0,7.5248,0.44
85,219.718,1674345600000000000,37,17.5,-106.5,11.6487,34.7525,221.15,1027.4611393478365,26.474403039495428,2288.0,2.480713953350914,20.594452860213238,2.1314674746629008,-14.065502918738483,2302.0,7.5248,0.43
86,230.303,1672617600000000000,35,17.5,-106.5,11.4636,34.7389,231.81,1027.533567537977,26.49847839338122,2291.0,2.497444565543034,20.622197336844504,2.3454221605377654,-14.091493551306273,2303.0,7.5198,0.43
87,229.776,1673481600000000000,36,17.5,-106.5,11.5456,34.7552,231.28,1027.528278374339,26.49596827009077,2290.0,2.4974574210461498,21.079711824835098,2.442755156063531,-13.536851755839768,2303.0,7.5234,0.44
