,Station,cast,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,NH4,Nstar,TA,pH,pH_tot,pH_temp,O2,fluor
76,4.0,1.0,13.99916,-105.00066,12.004,34.7839,221.151,1027.4167503410645,26.431662606433974,2266.73131913069,2.4911377190904873,28.1679688348403,0.08510865330059342,0.0,-8.705126017306904,2302.61,7.587301002008837,7.425312,25.0,0.607,0.0293
77,4.0,1.0,13.9991,-105.00062,12.2889,34.8007,199.132,1027.2755497043877,26.38950614656119,2278.641535508303,2.442122169384759,27.713080913093208,0.023587567140065564,0.0,-8.43728622992287,2315.65,7.587811297952056,7.428593,25.0,0.635,0.0312
78,4.0,1.0,13.99897,-105.00066,12.3842,34.8062,190.332,1027.2216610191526,26.37506615210782,2261.634788456136,2.469672811886605,27.121927916082505,0.01128160205315601,0.0,-9.48155547205002,2299.4,7.589280857357478,7.430842,25.0,0.596,0.0324
79,4.0,1.0,13.99891,-105.00067,12.4554,34.8087,179.863,1027.1627018245126,26.362844081770618,2253.3665593440505,2.4533601108410705,26.930529936362475,0.01743620457419981,0.0,-9.405795632520453,2291.35,7.589521936262109,7.431591,25.0,0.614,0.0326
80,4.0,1.0,13.99895,-105.00064,12.6703,34.8139,170.195,1027.080717780341,26.32451205831876,2260.477413699424,2.448070685655439,27.068778743196987,0.03384945155540865,0.0,-9.16650277573463,2299.79,7.591125295523476,7.435459,25.0,0.558,0.0355
81,4.0,1.0,13.99898,-105.00062,12.8346,34.8127,159.88,1027.0007138786452,26.29078118879079,2261.8525412295785,2.4702041329834663,25.936020340631877,0.4154574473357355,0.0,-10.271788339767847,2301.66,7.59077885099726,7.43686,25.0,0.62,0.0391
82,4.0,1.0,13.99896,-105.0006,12.9562,34.8162,150.343,1026.9362632527248,26.268975759464183,2258.8460216836547,2.4539010746568977,26.223474717605413,0.267756046640191,0.0,-9.871186430264759,2299.18,7.591221802426097,7.438476,25.0,0.646,0.0395
83,4.0,1.0,13.99894,-105.0006,13.4507,34.8005,139.962,1026.7765147121463,26.15657075552076,2263.8722751081004,2.4542828589203505,24.279597061088772,0.7726117705588533,0.0,-11.316316911077982,2304.73,7.586589407951489,7.440118,25.0,0.621,0.0448
84,4.0,1.0,13.99885,-105.00061,14.0826,34.7936,129.233,1026.590744728029,26.01981840569033,2253.775399177927,2.44923910517635,24.00679732168163,0.16522311336922865,0.0,-12.115805247770735,2297.28,7.58698061852337,7.448177,25.0,0.607,0.0538
85,4.0,1.0,13.99885,-105.00061,14.3985,34.7721,120.081,1026.4657574354067,25.93591012115803,2253.6857924102087,2.438560247985199,23.55055121994287,0.03797515281697348,0.0,-12.528437595003338,2297.72,7.584927507284405,7.44998,25.0,0.632,0.0624
86,4.0,1.0,13.9989,-105.00054,15.161,34.7401,110.356,1026.2309223246925,25.74547311054289,2250.188616961054,2.4116692677644234,24.150440852881,0.009239313290737173,0.0,-11.527028118059034,2296.13,7.581356301456755,7.4560625,25.0,0.865,0.0509
87,4.0,1.0,13.9989,-105.00054,16.1907,34.6866,98.706,1025.9044839128558,25.4720253344467,2243.25183676234,2.3465380859028264,25.132697229920844,0.017457589162385732,0.0,-9.494454555361992,2294.75,7.585992361128373,7.473285,25.0,9.225,0.0303
88,4.0,1.0,13.99888,-105.00054,17.6673,34.5943,89.649,1025.442419795444,25.051840934680968,2215.960600712341,2.1223405488083253,21.71639706346673,0.035958290088443465,0.0,-9.305093427378031,2286.65,7.626922437940541,7.5313,25.0,31.822,0.0341
89,5.0,1.0,13.99968,-106.00026,4.5099,34.558,1003.422,1032.0040829576346,27.398572720768925,2348.116219326414,3.322015280380183,44.17659936900808,0.0,0.0,-6.075645117074847,2366.67,7.602484691297538,7.373479,25.0,12.04,0.0219
90,5.0,1.0,13.99962,-106.00021,5.4821,34.5404,799.374,1030.928024410703,27.27057368454757,2349.2672719731418,3.33626049788107,41.16780118210489,0.01573299747018848,0.0,-9.296633786522042,2356.78,7.560349482248577,7.340921,25.0,2.229,0.0198
91,5.0,1.0,13.99984,-105.99996,7.1668,34.5377,600.563,1029.7759086038177,27.04684119861622,2323.316474141504,3.1781456049377486,34.87411328032583,0.0,0.0,-13.076216398678147,2333.66,7.554635779711549,7.349269,25.0,1.099,0.0217
92,5.0,1.0,13.99994,-105.99986,8.3972,34.5909,500.731,1029.1705829209548,26.907259438836263,2303.9896975603615,3.0288683661680387,28.91192960505105,0.0925386875416694,0.0,-16.5574255660959,2320.25,7.561223808663528,7.366672,25.0,0.684,0.0264
93,5.0,1.0,14.00002,-105.9998,11.2877,34.7578,349.98,1028.1108596540887,26.548838770454267,2279.6114179915444,2.6051016851442794,25.99864333598541,0.2605080449107528,0.0,-12.522475581412307,2308.56,7.569293683505764,7.404433,25.0,0.643,0.0348
94,5.0,1.0,14.00004,-105.99974,11.4866,34.7691,320.849,1027.9512438926333,26.520143638318586,2276.930898604317,2.5460567683046276,24.38566868607069,0.19177016631013458,0.0,-13.259469440493215,2307.36,7.572658932463236,7.408949,25.0,0.634,0.0348
95,5.0,1.0,14.00012,-105.99956,11.7925,34.786,302.03,1027.8211884840857,26.47569097706628,2271.4068493369896,2.519353047993808,26.31411705268496,0.20393331967513284,0.0,-10.891598395540838,2304.02,7.576270970093021,7.415426,25.0,0.635,0.0343
96,5.0,1.0,14.00018,-105.9995,11.9905,34.7958,279.151,1027.68795780072,26.445226135336725,2271.905919888975,2.53049141644635,24.42067664168013,0.5155649435981245,0.0,-12.651621077863341,2305.97,7.57904359208577,7.419639,25.0,0.613,0.0372
97,5.0,1.0,14.00015,-105.99949,12.1747,34.8058,261.962,1027.5827522999746,26.417325753895057,2271.6185677498906,2.4604668843856987,25.925770019369622,0.25052384094984226,0.0,-10.291176289851714,2306.89,7.581245159937257,7.423369,25.0,0.574,0.0355
98,5.0,1.0,14.0002,-105.99935,12.4479,34.8185,241.396,1027.446633251567,26.373814081494174,2266.387144339238,2.433757116986676,25.43516112004365,0.007690765383106041,0.0,-10.597261986360058,2303.8,7.585222005962089,7.429752,25.0,0.592,0.0339
99,5.0,1.0,14.00024,-105.99927,12.7633,34.8317,220.166,1027.2988771795106,26.321591366288658,2264.070049879075,2.482778490912645,25.64879765306681,0.0,0.0,-11.175658201535507,2303.8,7.588904308870965,7.436393,25.0,0.595,0.0301
100,5.0,1.0,14.00034,-105.99916,12.9547,34.838,200.121,1027.1755830982947,26.28785083310777,2262.3664390206663,2.4668507806201636,26.97852610204438,0.0,0.0,-9.591086387878237,2303.48,7.591499755382726,7.44051,25.0,0.627,0.0262
101,5.0,1.0,14.00031,-105.99911,13.3183,34.8431,165.688,1026.951520415162,26.217449233738535,2254.5563476077555,2.461979249008639,27.034748542731794,0.0,0.0,-9.456919441406429,2297.43,7.593533442934658,7.445798,25.0,0.725,0.0234
102,5.0,1.0,14.00034,-105.99902,13.4618,34.843,155.259,1026.8752742340325,26.187764556412958,2256.19423697609,2.451341740483184,27.20707290458399,0.0,0.0,-9.114394943146953,2299.68,7.593925961835722,7.447623,25.0,0.885,0.0239
103,5.0,1.0,14.0004,-105.99896,13.5593,34.8423,145.474,1026.8108452674624,26.166871867837244,2261.646761491642,2.446085058972828,24.7930031488602,0.0,0.0,-11.444357794705047,2305.67,7.59461151918391,7.449156,25.0,1.171,0.0221
